GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age,distance_to_litpop_km,litpop_asset_value,litpop_value_50km
P100001025669,ArcelorMittal Nippon Steel Gadchiroli steel plant,ArcelorMittal Nippon Steel India Ltd,India,Asia Pacific,20.168486,79.987119,,,5.353243705406725,36499350.191805646,569017553.9340441
P100000120513,ArcelorMittal Nippon Steel Hazira plant,ArcelorMittal Nippon Steel India Ltd,India,Asia Pacific,21.112377,72.647304,9600.0,31.0,2.706011973059551,3529225319.3115263,30948842203.04615
P100000120573,ArcelorMittal Nippon Steel Kendrapara plant,ArcelorMittal Nippon Steel India Ltd,India,Asia Pacific,20.71042,86.282806,,,0.950359509188043,163832705.0805086,26025647191.04051
P100000121178,ArcelorMittal Nippon Steel Paradip plant,ArcelorMittal Nippon Steel India Ltd,India,Asia Pacific,20.284771,86.658266,,,3.5532419354518154,1296918868.074968,6042407717.473298
P100000120568,Arjas Steel Tadipatri plant,Arjas Steel Pvt Ltd,India,Asia Pacific,14.873471,78.048425,1005.0,13.3,0.7459444056556344,216622786.99645334,2349689099.247747
P100000120564,Atibir Industries Bhorandiha steel plant,Atibir Industries Co Ltd,India,Asia Pacific,24.145239,86.334999,0.0,17.0,4.641210419430883,510655890.86209947,49365304380.105705
P100000120384,Baicheng Fuda Bar Rolling Co Ltd,Baicheng Fuda Bar Rolling Co Ltd,China,Asia Pacific,45.593303,122.895588,788.0,16.31,3.8713190160247324,4030918213.477184,10999663034.44302
P100001023581,Baldota Koppal steel plant,Baldota Steel and Power Ltd,India,Asia Pacific,15.332616,76.206778,,0.0,4.5564120576102765,185356174.34875867,6129281055.262092
P100000120256,Baoshan Iron and Steel Co Ltd Headquarters,Baoshan Iron & Steel Co Ltd,China,Asia Pacific,31.41623,121.440087,19800.0,49.0,4.900770908949886,72345769161.90762,2692492306776.8086
P100000120336,Baosteel Desheng Stainless Steel Co Ltd,Baosteel Desheng Stainless Steel Co Ltd,China,Asia Pacific,26.48747,119.654461,3220.0,15.0,6.2649805208647456,53661889.35483706,26042658674.23849
P100000120289,Baosteel Group Xinjiang Bayi Iron and Steel Co Ltd,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,China,Asia Pacific,43.852147,87.304639,7300.0,30.34,2.7457203596496,931469524.817334,361880986497.6777
P100000120257,Baosteel Special Steel Co Ltd,Baosteel Special Metals Co Ltd,China,Asia Pacific,31.379422,121.484652,,65.41,2.546448361863095,72345769161.90762,2736540205241.171
P100000120085,Baosteel Zhanjiang Iron and Steel Co Ltd,Baosteel Zhanjiang Iron & Steel Co Ltd,China,Asia Pacific,21.056035,110.48657,14328.0,15.0,3.337527518081368,1178377706.3453572,45043420848.915
P100000121076,Baotou Baoxin Special Steel Co Ltd,Baotou Baoxin Special Steel Co Ltd,China,Asia Pacific,41.362925,110.988771,,17.39,2.8730216295858675,883833.8895358075,158577491.19974533
P100000121143,Baotou Da'an Iron and Steel Co Ltd Kundulun District,Baotou DA AN IRON&STEEL Co Ltd,China,Asia Pacific,40.715119,109.821653,,,2.6376480439346204,16316239267.774508,172420310761.41986
