Owner,total_capacity_ttpa,n_plants,n_countries,n_regions,avg_litpop_value_50km,centroid_lat,centroid_lon
Guangdong Guangqing METAL Technology Co Ltd,2040.0,1,1,1,18092619931.191082,21.697069,111.848841
Guangdong Guangqing Metal Technology Co Ltd,1100.0,1,1,1,594259650734.9299,31.980237,120.571455
Guangdong Guixin Steel Co Ltd,630.0,1,1,1,996060755241.3506,23.517109,113.106865
Guangdong Guoxin Industrial Co Ltd,2500.0,1,1,1,582448944819.6637,23.407415,116.570818
Guangdong Hongde Steel Group Co Ltd,860.0,1,1,1,31793771860.51081,24.672351,113.535574
Guangdong Jingye Iron and Steel Co Ltd,2000.0,1,1,1,583637230738.2711,23.454666,116.498483
Guangdong Jinshenglan Metallurgical Technology Co Ltd,3600.0,1,1,1,60803563955.78658,22.888729,112.263081
Guangdong Nanfang Donghai Iron and Steel Co Ltd,2400.0,1,1,1,60211318656.04337,22.907614,112.224952
Guangdong Shengye Steel Co Ltd,920.0,1,1,1,24624244874.55013,24.008564,114.797328
Guangdong Shiji Qingshan Nickel Industry Co Ltd,900.0,1,1,1,17775768414.022697,21.687053,111.848893
Guangdong Taidu Iron & Steel Co Ltd,1020.0,1,1,1,689650406949.0117,23.504558,112.962693
Guangdong Taiye Hongda Steel Co Ltd,920.0,1,1,1,518040246609.26575,23.54332928798603,112.99082407443541
Guangdong Yuebei United Steel Co Ltd,2055.0,1,1,1,8696937071.580666,24.262452,113.728198
Guangdong Yuedong Steel Co Ltd,720.0,1,1,1,27017136890.886192,23.711585,114.689761
Guangdong Yuehua Iron & Steel Group Co Ltd,520.0,1,1,1,8810397766.05655,24.275783,113.388896
Guangdong Yueshao Iron & Steel Co Ltd,500.0,1,1,1,32115161740.937645,24.688355,113.657408
Guangdong Zhanhong Steel Plant,500.0,1,1,1,54074859666.96669,23.037858,114.970593
Guangshui Huaxin Smelt Industry Co Ltd,869.0,1,1,1,7307352272.830032,31.50221,114.008142
Guangxi BG New Materials Co Ltd,3400.0,1,1,1,31590588682.136852,21.519924,109.506427
Guangxi Chiji Iron and Steel Co Ltd,4800.0,1,1,1,20559732482.81378,23.402121,111.134606
Guangxi Deyuan Metallurgy Co Ltd,0.0,2,1,1,15508260742.890629,22.785653,109.11917
Guangxi Guigang Iron and Steel Group Co Ltd,1400.0,1,1,1,18365541991.176605,23.088182,109.634638
Guangxi Guigang Iron and Steel Group Guigang Guibao SPECIAL Steel Co Ltd,1200.0,1,1,1,18019027177.925503,23.089502,109.63938
Guangxi Guixin Steel Group Co Ltd,6050.0,1,1,1,4917065856.955622,23.978962,111.735523
Guangxi Hezhou Kexinda Metal Products Co Ltd,1150.0,1,1,1,4928627017.033124,23.979937,111.745037
Guangxi Iron and Steel Group Co Ltd,8400.0,1,1,1,11674689080.685747,21.580723,108.400896
Guangxi Liugang Zhongjin Stainless Steel Co Ltd,0.0,1,1,1,9528213457.25059,21.67261,109.741866
Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,1725.0,2,1,1,2572884828.8860474,23.1567485,109.43017850000001
Guangxi Shenglong Metallurgical Co Ltd,9783.0,1,1,1,14121027870.936752,21.687637,108.412344
Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,1500.0,1,1,1,20412395323.525173,23.518229,111.235509
Guilin Pinggang Iron and Steel Co Ltd,1200.0,1,1,1,3515808103.975182,24.673567,110.78959
Guizhou Ganglian Industrial Group Co Ltd,1325.0,1,1,1,45219639605.75884,27.615147,106.949926
Guizhou Hexing Metal Products Co Ltd,500.0,1,1,1,14026477096.41879,26.509525,107.570458
Guizhou United Steel (Group) Co Ltd,1990.0,1,1,1,47452877237.39896,27.591691,106.814024
Gulf Tubing Co,0.0,1,1,1,,27.502041,49.189647
HBIS Group Serbia Iron & Steel Beograd doo,2199.0,1,1,1,,44.606332,20.970066
HBIS Laoting Steel Co Ltd,7450.0,1,1,1,14069637061.114597,39.257823,119.033567
HES Hennigsdorfer Elektrostahlwerke GmbH,1000.0,1,1,1,,52.650903,13.212683
Habas Industrial and Medical Gases Production Industries AŞ,4500.0,1,1,1,,38.751462,26.950172
Hadeed Metal Manufacturing Co,800.0,1,1,1,,33.626258,36.574968
Hai Kwang Enterprise Corp,600.0,1,1,1,,22.550634,120.365645
Haicheng Hengsheng Casting Co Ltd,760.0,1,1,1,206242523147.69278,41.057478,122.8328
Halyvourgiki SA,0.0,1,1,1,,38.043873,23.508083
Handan Iron and Steel Group Co Ltd,0.0,1,1,1,218590949357.5953,36.601308,114.439889
Hanshan Iron and Steel Co Ltd,4488.0,1,1,1,41735156180.61442,36.685881,113.837073
Hbzx HIGH Tech Co Ltd,1800.0,1,1,1,57338704830.849655,40.607977,115.067516
Hebei Anfeng Iron & Steel Co Ltd,7100.0,1,1,1,63186987906.94399,39.65849,118.894804
Hebei Baoxin Iron and Steel Group Co Ltd,0.0,1,1,1,170332444606.03406,36.555205,114.108273
Hebei Bishi Industry Group Co Ltd,0.0,1,1,1,,-6.896426,110.220286
Hebei Donghai SPECIAL Steel Group Co Ltd,10001.0,1,1,1,204148015366.28906,39.610605,118.474722
Hebei Guanfeng Metallurgical Industry Co Ltd,0.0,1,1,1,188279097079.84662,36.73422,114.111085
Hebei Huaxi Special Steel Co Ltd,1824.0,1,1,1,14648275399.768066,39.260784,119.005925
Hebei Huaxin Special Steel Co Ltd,1350.0,1,1,1,226338846200.95425,36.53048,114.245262
Hebei Jingdong Pipe Industry Co Ltd,0.0,1,1,1,58267189145.948364,39.932656,118.836844
Hebei Jinxi Iron & Steel Group Co Ltd,5000.0,1,1,1,43499881101.07147,40.209844,118.220547
Hebei New Wuan Iron and Steel Group Xin Hui Metallurgy Co Ltd,1575.0,1,1,1,165400174991.58643,36.664097,114.115263
Hebei New Wuan Lron and Steel Group Hong Rong Lron and Steel Co Ltd,1350.0,1,1,1,115514440184.77707,36.640411,113.981172
Hebei New Wuan Steel Group Wenan IRON&STEEL Co Ltd,0.0,2,1,1,151986897156.732,36.655461,114.06882949999999
Hebei PROVINCE Longfengshan Casting Industry Co Ltd,0.0,1,1,1,189282802008.3607,36.705105,114.105387
Hebei Puyang Iron and Steel Co Ltd,5567.0,1,1,1,88905961808.20065,36.733675,113.925995
Hebei Rongxin Iron & Steel Co Ltd,2300.0,1,1,1,185382304519.087,39.880661,118.558755
Hebei Taihang Iron and Steel Group Co Ltd,3950.0,1,1,1,160749878225.58725,36.613716,114.082349
Hebei Tangyin IRON&STEEL Co Ltd,2300.0,2,1,1,118224397623.30542,39.4298775,118.321497
Hebei Tianzhu IRON&STEEL (GROUP) Co Ltd,0.0,1,1,1,205662243350.9365,39.803524,118.205663
Hebei Tianzhu Iron and Steel Group Special Steel Co Ltd,3034.0,1,1,1,16055344208.807579,39.270032,119.01376
Hebei Wenfeng STEEL&IRON Co Ltd,0.0,1,1,1,168302488557.8515,36.64577,114.124258
Hebei Xinda Iron and Steel Co Ltd,5000.0,1,1,1,179466967911.97195,39.898362,118.579364
Hebei Xinfeng High-pressure Flange and Pipe Fitting Co Ltd,0.0,1,1,1,,29.707611,32.28672
Hebei Xinghua Iron and Steel Co Ltd,0.0,1,1,1,187803543578.32645,36.744936,114.111602
Hebei Xinjin Iron and Steel Co Ltd,2700.0,1,1,1,208899561340.64273,36.715632,114.208992
Hebei Xinwuan Iron and Steel Group Co Ltd,0.0,1,1,1,,3.586453,113.359851
Hebei Xinxing Ductile Iron Pipes Co Ltd,2500.0,1,1,1,167093741671.57178,36.621504,114.128189
Hebei Yanshan Iron and Steel Group Co Ltd,9990.0,1,1,1,94003251535.55492,39.925508,118.672757
Hebei YongYang Special Steel Group Co Ltd,1610.0,1,1,1,231127348101.5271,36.786851,114.376132
Hebei Zongheng Group Fengnan Iron & Steel Co Ltd,7700.0,1,1,1,273957223668.95923,39.222566,118.094201
Heilongjiang Jianlong Iron and Steel Co Ltd,2001.0,1,1,1,6651539956.068401,46.602297,131.071877
Hejin Huaxinyuan Steel & Iron Co Ltd,1150.0,1,1,1,19695570640.10215,35.605506,110.652056
Hellenic Halyvourgia SA,1000.0,1,1,1,,39.38588,22.80745
Henan Angang Zhoukou Iron and Steel Co Ltd,1750.0,1,1,1,42940994119.0539,33.364534,115.099661
Henan Changtai Stainless Steel Plate Co Ltd,0.0,1,1,1,176057082397.7937,34.702951,112.955911
Henan Fengbao SPECIAL Steel Co Ltd,0.0,1,1,1,102764827087.29698,36.131666,113.872158
Henan Fuhua Iron & Steel Group Co Ltd,1200.0,1,1,1,671782005388.0455,34.462949,113.700844
Henan Jiyuan Iron & Steel (Group) Co Ltd,3428.0,1,1,1,108567124624.6772,35.086396,112.553774
Henan Xinjinhui Stainless Steel Industry Co Ltd,1400.0,1,1,1,168522835872.76932,34.263509,113.853979
Henan YAXIN Steel Industry Co Ltd,1000.0,1,1,1,125385157536.0824,35.879956,114.334825
Hengyang Valin Steel Tube Co Ltd,1300.0,1,1,1,52631189059.04941,26.865484,112.576853
Heping Yueshen Steel Industrial Co Ltd,1400.0,1,1,1,5593914441.559017,24.49796,114.93888
Heyuan Derun Steel Co Ltd,1650.0,2,1,1,32117849697.50186,23.5457045,114.820847
Heyuan Huacheng Metal Products Co Ltd,620.0,1,1,1,39202857256.919846,23.56658,114.598993
Hezhou Xindu Sanyuan Casting Co Ltd,780.0,1,1,1,4920258620.047069,23.987007,111.739775
Hezhou Zhaoxin Hardware Products Co Ltd,750.0,1,1,1,4917065856.955622,23.978567,111.735529
Hmisho Steel SA,800.0,1,1,1,,34.364258,36.803848
Hoa Phat Dung Quat Steel JSC,14499.0,1,1,1,,15.37768,108.793321
Hoa Phat Hai Duong Steel JSC,2525.0,1,1,1,,21.01536,106.536023
Hoa Sen Group,1300.0,1,1,1,,10.595295,107.044846
Honghe Iron and Steel Co Ltd,0.0,1,1,1,17481896153.666866,23.470733,103.272784
Hospet Steels Ltd,650.0,1,1,1,6494280553.741234,15.339055,76.251696
Houying Group Haicheng Iron and Steel Co Ltd,0.0,1,1,1,204280659469.35934,40.981855,122.948643
Huahong Iron and Steel Products Co Ltd,1200.0,1,1,1,5534623301.555684,28.090098,119.519509
Huainan Hongtai Steel Limited Liability Co,500.0,1,1,1,91330913466.36772,32.619248,116.905869
Huangshi Xingang Heavy Industry Technology Co Ltd,0.0,1,1,1,64413221791.8982,30.097108,115.284652
Huangshi Xinxing Pipe Industry Co Ltd,0.0,1,1,1,96475265193.3459,30.181393,114.944879
Huarui (Handan) Casting & Pipe Co Ltd,0.0,1,1,1,170053205873.57678,36.561049,114.102793
Hubei Dazhan Steel & Iron Co Ltd,0.0,1,1,1,40759271145.18103,31.006752,113.754995
Hubei Jinshenglan Metallurgical Technology Co Ltd,3250.0,1,1,1,15273223883.283081,29.916729,113.822921
Hubei Lijin Steel Group Co Ltd,2000.0,1,1,1,24127542428.199814,32.127263,112.715688
Hubei Shunle Iron and Steel Co Ltd,2000.0,1,1,1,15500575351.26793,29.925026,113.826118
Hubei Wucheng Iron and Steel Group Co Ltd,0.0,1,1,1,218053706578.46277,30.341239,114.857744
Huizhou Jushun Iron and Steel Plant,620.0,1,1,1,581102754330.4387,23.178652,114.279374
Hunan Valin Lianyuan Iron and Steel Co Ltd,16250.0,2,1,1,226421252415.4181,27.780956,112.43236
Hwanyoung Steel Industries Co Ltd,800.0,1,1,1,,36.956486,126.616956
Hybar LLC,544.0,1,1,1,,35.686814,-89.961981
Hybrit Development AB,0.0,1,1,1,,67.189096,20.720752
Hydnum Steel SL,0.0,1,1,1,,38.688849,-4.107015
Hyron Africa,0.0,1,1,1,,-22.084183,17.4099154
Hyundai Steel Co,24297.0,4,2,2,,35.25001025,118.56025525
Hüttenwerke Krupp Mannesmann GmbH,0.0,1,1,1,,51.371279,6.72331
Industrie Riunite Odolesi IRO SpA,600.0,1,1,1,,45.645688,10.374305
Infrabuild Australia Pty Ltd,1530.0,2,1,1,,-35.798694499999996,147.818994
Inner Mongolia (Naiman) Jingan Non-ferrous Metal Materials Co Ltd,0.0,1,1,1,32610294666.29648,43.696186,122.219433
Inner Mongolia BaoTou Steel Union Co Ltd,16760.0,1,1,1,172548163179.83905,40.647997,109.740898
Inner Mongolia Desheng Metal Products Co Ltd,1350.0,1,1,1,10635795445.055777,39.867015,106.890377
Inner Mongolia Mingtuo Ferrite New Material Co Ltd,0.0,1,1,1,172491417398.7581,40.597557,109.683202
Inner Mongolia Wanzhou Special Steel Co Ltd,0.0,1,1,1,166563793208.9674,40.977329,110.022924
Inner Mongolia Yaxinlongshun Special Steel Co Ltd,2000.0,1,1,1,173888486435.46762,40.689778,110.214707
Interpipe Ltd,1320.0,1,1,1,,48.498914,35.096336
Iran Alloy Steel Co,1300.0,1,1,1,,31.940106,54.037614
Iranian Alborz Steel Co,0.0,1,1,1,,36.614049,53.234213
Iranian Ghadir Iron & Steel Co,0.0,1,1,1,,32.3912,53.7496
Iranian Sirjan Steel Co,1000.0,1,1,1,,29.928062,56.736539
Iskenderun Demir ve Celik AŞ,5800.0,1,1,1,,36.735672,36.204581
Iton Seine SAS,550.0,1,1,1,,49.033678,1.561022
Ittehad Steels Pvt Ltd,500.0,1,1,1,,31.643426,73.198542
Ivaco Rolling Mills LP,650.0,1,1,1,,45.613941,-74.704608
Izmir Demir Celik Sanayi AŞ,3100.0,1,1,1,,38.739596,26.929091
Içdaş Çelik Enerji Tersane Ve Ulaşim Sanayi AŞ,5000.0,1,1,1,,40.441491,27.137563
JFE Bars & Shapes Corp,1620.0,3,1,1,244037346812.76425,35.056672999999996,136.36677866666665
JFE Steel Corp,20769.0,5,1,1,3652170210652.552,35.6587466,137.6000342
JO Steel Holdings PLC,0.0,1,1,1,,27.491064,49.258418
JSW Bengal Steel Ltd,0.0,1,1,1,22867811417.327194,22.575726,87.310258
JSW Green Steel Ltd,0.0,1,1,1,7026475591.708821,18.530853,72.947091
JSW Ispat Special Products Ltd,950.0,1,1,1,10563384113.836348,21.983709,83.238133
JSW Jharkhand Steel Ltd,0.0,1,1,1,23446519340.916725,23.188108,85.715097
JSW Rayalaseema Steel Limited,0.0,1,1,1,3699473968.9320436,14.76855,78.403263
JSW Steel Italy Piombino SpA,0.0,1,1,1,,42.93652,10.537794
JSW Steel Ltd,28359.0,5,1,1,22791457118.906868,17.52686306,78.32715882
JSW Steel Ltd; POSCO Holdings Inc,0.0,1,1,1,52152013428.16887,20.248632,86.156416
JSW Steel USA Ohio Inc,1500.0,1,1,1,,40.314891,-80.605553
JSW Utkal Steel Ltd,0.0,1,1,1,6876861355.910729,20.216667,86.55
JSW Vijayanagar Metallics Ltd,5000.0,1,1,1,9966119331.866566,15.203176,76.659122
Jai Balaji Industries Ltd,295.0,2,1,1,60188657284.48079,23.485256999999997,87.36084149999999
Jai Balaji Jyoti Steels Ltd,92.0,1,1,1,10791925694.114943,22.085338,84.86184
Jayaswal Neco Industries Ltd,1200.0,1,1,1,50473566906.84862,21.354495,81.676444
JiLin Province Xinda Steel Co Ltd,0.0,1,1,1,6035383531.075078,42.3249,125.246892
Jianglong Acheng Iron & Steel Co Ltd,1600.0,1,1,1,433262728884.3327,45.562002,126.968128
Jiangsu Changqiang Iron & Steel Co Ltd,2000.0,1,1,1,869434788637.9381,31.952064,120.189749
Jiangsu Delong Nickel Industry Co Ltd,1350.0,1,1,1,13262278133.303556,34.443469,119.816574
Jiangsu HONGTAI Metals Ware Co Ltd,1576.0,1,1,1,406755252591.32434,32.138393,119.554693
Jiangsu Jingye Iron and Steel Co Ltd,3000.0,1,1,1,17996018934.013416,34.38381,119.786878
Jiangsu Longyuan Steel Co Ltd,0.0,1,1,1,200300142640.241,34.538033,117.329589
Jiangsu Province Binxin Steel Group Co Ltd,5400.0,1,1,1,58862806457.56507,35.09556,119.279989
Jiangsu Shagang Group Huaigang SPECIAL Steel Co Ltd,3364.0,1,1,1,116194403770.98167,33.566039,118.988442
Jiangsu Shagang Iron & Steel Co Ltd,16605.0,1,1,1,529051380107.0347,31.983146,120.638992
Jiangsu Shente Steel Corp,0.0,1,1,1,149850825886.9499,31.471123,119.485941
Jiangsu Suxin Special Steel Co Ltd,0.0,1,1,1,1203080421719.338,31.400644,120.475103
Jiangsu Xingda Steel Group Co Ltd,0.0,1,1,1,199923762019.09317,34.501981,117.316278
Jiangsu Xusteel Group Co Ltd,3050.0,1,1,1,203762624287.38776,34.577016,117.339638
Jiangxi Taixin Iron & Steel Co Ltd,1000.0,1,1,1,28075320400.865673,28.60445,118.163615
Jiangxi Yuanxing Iron and Steel Co Ltd,0.0,1,1,1,3890877667.8320055,24.881098,114.802833
Jiangyin Huaxi Steel Co Ltd,1500.0,1,1,1,1024135366078.9897,31.816482,120.424347
Jiangyin Xicheng Steel Co Ltd,720.0,1,1,1,899493452254.8955,31.892299,120.198394
Jiangyin Xingcheng SPECIAL Steel Works Co Ltd,5900.0,1,1,1,861258391348.5183,31.950191,120.328449
Jianlong Beiman SPECIAL Steel Co Ltd,2570.0,1,1,1,60191945180.633514,47.191285,123.616512
Jianlong Xilin Iron and Steel Co Ltd,4200.0,1,1,1,853263562.5257634,47.495036,129.287919
Jilin Jianlong Steel Co Ltd,2700.0,1,1,1,126042241262.18954,44.011951,126.537086
Jilin Jingang Lron and Steel Co Ltd,1500.0,1,1,1,26086020433.09009,43.20023,124.335697
Jilin Steel Group Taihua Metal Equipment Manufacture Co Ltd,0.0,1,1,1,31395426520.878036,44.138826,125.914941
Jilinheng Precision Casting Technology Co Ltd,1100.0,1,1,1,4389412705.524285,43.196537,126.00063
Jinan Iron & Steel Group Co Ltd,5200.0,1,1,1,189064228850.86957,36.718952,114.111677
Jincheng FUSHENG Iron & Steel Co Ltd,4600.0,1,1,1,38067790254.84774,35.662985,112.882395
Jindal Shadeed Iron & Steel LLC,2500.0,2,1,1,,22.071424999999998,57.1393025
Jindal Stainless Ltd,3000.0,3,1,1,94078994866.96956,23.132222333333335,78.267228
Jindal Steel Chhattisgarh Ltd,0.0,1,1,1,8708985977.676916,21.895041,83.376759
Jindal Steel Limited Ltd,9600.0,5,1,1,17670122099.80673,20.9652604,84.242291
Jindal Steel Odisha Ltd,6300.0,1,1,1,10146547279.815842,20.874713,84.944082
Jinding Heavy Industries Co Ltd,3000.0,1,1,1,189064228850.86957,36.718952,114.111677
Jingdong Steel,0.0,1,1,1,,35.698361,4.478169
Jingye (Yingkou) Medium Plate Co Ltd,5500.0,1,1,1,91760599608.88235,40.671136,122.395441
Jingye Iron and Steel Co Ltd,6400.0,1,1,1,184573101987.5097,38.391372,114.139998
Jingzhou Qunli Metal Products Co Ltd,1000.0,1,1,1,38205541993.96432,30.3505,112.353782
Jinye Steel Group Co Ltd,950.0,1,1,1,68729326480.3698,36.148131,113.209523
Jinzhou Jinxing Special Steel Co Ltd,0.0,1,1,1,54238701827.81923,41.188888,121.225043
Jishan Mingfu Steel Products Co Ltd,1433.0,1,1,1,29193307116.655434,35.665945,111.025976
JiuJiang PXSteel Co Ltd,4700.0,1,1,1,49202409985.341385,29.778431,116.27527
Jiugang Group Yuzhong Iron & Steel Co Ltd,4000.0,1,1,1,159988995314.00266,36.033646,104.035535
KG Steel Co Ltd,1000.0,2,1,1,,37.233173,126.707465
KIC Metaliks Ltd,0.0,1,1,1,78911937623.12569,23.507539,87.277914
KISCO Corp,3000.0,1,1,1,,35.216552,128.640158
KMK Tempo JSC,504.0,1,1,1,,55.723465,52.541024
KSP Steel LLC,0.0,1,1,1,,52.334465,76.956302
KSRM Steel Plant Ltd,800.0,1,1,1,,22.499834,91.715778
KVV Liepājas metalurgs AS,0.0,1,1,1,,56.525273,21.0267
Kaavian Steel Co,35.0,1,1,1,,31.283549,48.572468
Kalyani Steels Ltd,0.0,1,1,1,46089200704.690956,20.601819,85.594653
Kam Industries (Nigeria) Ltd,600.0,1,1,1,,8.390993,4.674475
Kamet-Steel PrJSC,3500.0,1,1,1,,48.528019,34.640915
Kapila Metals Pvt Ltd,0.0,1,1,1,9907907877.655088,19.874223,75.817553
Kaptan Demir Celik Endustrisi Ve Ticaret AŞ,1400.0,1,1,1,,41.015222,27.959978
Kardemir Karabuk Demir Çelik Sanayi Ve Ticaret AŞ,4751.0,2,1,1,,39.9619795,29.799544500000003
Kazakhstal LLP,0.0,1,1,1,,49.8902647,73.7561639
Khorasan Steel Complex Co,1400.0,1,1,1,,36.3445,58.67875
Khouzestan Oxin Steel Co,0.0,1,1,1,,31.277236,48.747422
Khouzestan Steel Co,0.0,1,1,1,,31.270091,48.732904
Kish South Kaveh Steel Co,2400.0,1,1,1,,27.169696,56.095207
Kishiwada Steel Co Ltd,500.0,1,1,1,4024872190911.7173,34.477479,135.353918
Kobe Steel Ltd,4394.0,2,1,1,2380365036762.6226,34.711946,135.036741
Koc Metalurji AŞ,1200.0,1,1,1,,37.01488,36.104416
Kocaer Çelik Sanayi ve Ticaret AŞ,0.0,1,1,1,,37.858651,27.845846
Krasnyi Oktyabr' Corporation JSC,501.0,1,1,1,,48.754025,44.561004
Kroman Celik Sanayii AS,1500.0,1,1,1,,40.801101,29.374115
Kunming Iron & Steel Holding Co Ltd,0.0,1,1,1,,21.423783,96.454378
Kurdistan Steel Co,0.0,1,1,1,,35.936932,47.762024
Kurum International ShA,0.0,1,1,1,,41.094611,20.026117
Kyoei Steel Ltd,2645.0,3,1,1,2290570294542.1885,34.61929633333333,134.55528633333333
LNM Group,700.0,1,1,1,,-7.3551286,112.7037297
Laiwu Steel Yinshan Section Co Ltd,5600.0,1,1,1,51404078756.40897,36.106143,117.820108
Lamines Marchands Europeens SA,850.0,1,1,1,,50.3292,3.490913
Langfang Guangyuan Metalwork Co Ltd,0.0,1,1,1,1009910154140.4136,39.181466,116.838667
Lao Cai Cast Iron and Steel,500.0,1,1,1,,22.306931,104.12992
Lebedinskiy GOK JSC,0.0,1,1,1,,51.261995,37.654622
Lech Stahlwerke GmbH,1400.0,1,1,1,,48.512051,10.855292
Lengshuijiang Iron and Steel Co Ltd,3000.0,1,1,1,18218977581.76848,27.690401,111.437288
Lianfeng Steel (Zhangjiagang) Co Ltd,6720.0,1,1,1,691192891097.3962,31.855205,120.730505
Lianping County Huafeng Steel Co Ltd,720.0,1,1,1,7860661720.28815,24.18435,114.728202
Lianyungang Huale Alloy Group Co Ltd,621.0,1,1,1,62208001532.84489,34.607964,119.447626
Lianyungang Yaxin Iron and Steel Co Ltd,3000.0,1,1,1,21492612750.274986,34.423786,119.778311
Liaoyang United Steel Co Ltd,2300.0,1,1,1,210271387199.7962,41.19138,122.877311
Liaoyang Xinyi Special Steel Co Ltd,500.0,1,1,1,207956725496.76184,41.225003,122.970488
Liberty Galati SA,0.0,1,1,1,,45.434119,27.976244
Liberty Steel Group,726.0,6,4,2,,46.305577,-25.015413499999998
Libyan Iron and Steel Co,1710.0,1,1,1,,32.335185,15.215053
Licheng Taihang Iron & Steel Co Ltd,1700.0,1,1,1,63358692955.12561,36.472303,113.344155
Lingyuan Iron & Steel Co Ltd,5994.0,1,1,1,8449719856.137927,41.271048,119.41374
Linyi Iron and Steel Investment Group Co Ltd,2700.0,1,1,1,53272173903.43916,35.15735,119.133999
Linyi Iron and Steel Investment Group Stainless Steel Co Ltd,700.0,1,1,1,49102072073.52552,35.148443,119.068015
Linyi Jiangxin Steel Co Ltd,0.0,1,1,1,164788953238.1223,34.951117,118.305389
Linyi Meide Gengchen Metal Materials Co Ltd,500.0,1,1,1,49326982913.5983,35.188667,119.087048
Linzhou Hexin Foundry Co Ltd,240.0,1,1,1,102240701401.62509,36.112742,113.861135
Liuzhou IRON&STEEL Co Ltd,9458.0,1,1,1,106919872651.21158,24.385304,109.37963
Liyang Baorun Steel Co Ltd,2760.0,1,1,1,149850825886.9499,31.471123,119.485941
Lloyds Metals and Energy Ltd,0.0,2,1,1,2566851885.544288,19.850123,79.4664715
Long Son Phu My Iron & Steel Co,0.0,1,1,1,,14.457367,109.0789538
Longchuan Hanghui Steel Co Ltd,930.0,1,1,1,6334060729.585486,24.113189,115.215068
Longnan Fuxin Steel Co Ltd,1500.0,1,1,1,2717532226.4839673,24.912904,114.844503
Luannan Huarui Steel Co Ltd,0.0,1,1,1,122208342739.46231,39.51833,118.715766
Lucheng Xingbao Iron & Steel Co Ltd,1900.0,1,1,1,64949971438.52852,36.332449,113.15509
Luoyang Luogang Group of Steel and Iron Co Ltd,0.0,1,1,1,201192744938.41702,34.798477,112.580505
Luzhou Xinyang Vanadium Titanium Steel Co Ltd,2000.0,1,1,1,32944059922.257732,28.851779,105.70509
Lvliang Jianlong Industrial Co Ltd,1400.0,1,1,1,81961745851.4654,37.47311,112.06093
MK Azovstal' PrAT,0.0,1,1,1,,47.094724,37.596862
MMK Metalurji Sanayi Ticaret ve Liman Isletmeciligi AŞ,2300.0,1,1,1,,36.768975,36.213842
MSP Steel & Power Ltd,385.0,1,1,1,10100227857.664085,21.87673,83.554495
MZ Balakovo JSC,1250.0,1,1,1,,51.936009,47.81591
Maanshan Iron & Steel Co Ltd,15480.0,1,1,1,597053458401.5353,31.698884,118.468194
Maegma Minerals Sdn Bhd,0.0,1,1,1,,4.2405829,100.5949428
Maghreb Steel SA,1000.0,1,1,1,,33.632918,-7.434084
Magnitogorskiy Metallurgicheskiy Kombinat PJSC,14500.0,1,1,1,,53.427593,59.054122
Makran Steel Co,0.0,1,1,1,,25.4483977,60.6408488
Makstil AD,550.0,1,1,1,,42.016228,21.46605
Malaysia Steel Works (KL) Bhd,800.0,1,1,1,,3.077835,101.46448
Marcegaglia Holding SpA,0.0,1,1,1,,43.445004,4.846805
Marcegaglia Stainless Sheffield Ltd,0.0,1,1,1,,53.399598,-1.395818
Mariupolskyi Metalurgiinyi Kombinat Imeni Illicha PrAT,0.0,1,1,1,,47.1402768,37.5943416
Mashiz Bardsir Steel Industries Co,400.0,1,1,1,,29.948688,56.732593
Mass Iraq Iron and Steel Industry Co,1250.0,1,1,1,,35.660125,45.039062
Matesi,0.0,1,1,1,,8.300159,-62.780136
Max Aicher GmbH & Co KG,0.0,1,1,1,,48.886028,21.82705
Med-steel Ltd,800.0,1,1,1,,33.628437,36.57259391534359
Megasa Siderurgica SL,700.0,1,1,1,,43.51421,-8.163839
Megasider Zaragoza SA,500.0,1,1,1,,41.56988,-0.856566
Megasteel Sdn Bhd,0.0,1,1,1,,2.8072653,101.6055808
Meghna Re-rolling and Steel Mills Ltd,0.0,1,1,1,,23.585487,90.648875
Meranti Steel Pte Ltd,0.0,2,2,2,,16.16514,79.409817
Mesabi Mining LLC,0.0,1,1,1,,47.383441,-93.219413
Mescier Demir Celik AŞ,1000.0,1,1,1,,41.565932,32.427758
Mesco Kalinga Steel Ltd,1200.0,1,1,1,17327711187.14309,20.976277,86.044419
Metalfer Steel Mill Sremska Mitrovica doo,500.0,1,1,1,,44.977213,19.64601
Metallus Inc,1088.0,2,1,1,,40.766927,-81.418129
Metinvest Adria SpA,0.0,1,1,1,,42.93652,10.537794
Metinvest Holding LLC,0.0,1,1,1,,49.039389,31.332628
Mianeh Steel,0.0,1,1,1,,37.37881,47.736689
Mikhailovsky HBI LLC,0.0,1,1,1,,52.360448,35.397314
Millcon Steel PCL,800.0,1,1,1,,12.819544,101.152954
Mindong Saiqi Economic Development Zone Fuhua Steel Rolling Co Ltd,0.0,1,1,1,11697363682.34901,26.961516,119.654272
Ministry of Defense (Poland),840.0,1,1,1,,50.782614,19.165566
Mintal Group Co Ltd,0.0,1,1,1,190596578.8616632,41.7915,109.865367
Minyuan Iron and Steel Group Co Ltd,2700.0,1,1,1,73538117479.19241,34.013369,116.422599
Mitsui-Kobe Steel JV,0.0,1,1,1,,19.529594,57.61573
Mobarakeh Steel Co,4100.0,4,1,1,,31.0024965,52.512505250000004
Moldova Steel Works JSC,0.0,1,1,1,,47.783771,29.02835
