Owner,total_capacity_ttpa,n_plants,n_countries,n_regions,avg_litpop_value_50km,centroid_lat,centroid_lon
ArcelorMittal España SA,5400.0,2,1,1,,43.539916500000004,-5.802258
ArcelorMittal Hamburg GmbH,1100.0,1,1,1,,53.522601,9.900749
ArcelorMittal Kryvyi Rih PJSC,1083.0,1,1,1,,47.874411,33.392993
ArcelorMittal Long Products Canada GP,2400.0,1,1,1,,45.835148,-73.254957
ArcelorMittal Méditerranée SAS,2550.0,1,1,1,,43.43283,4.887166
ArcelorMittal México SA de CV,6500.0,1,1,1,,17.930688,-102.201498
ArcelorMittal Nippon Steel India Ltd,9600.0,5,1,1,14679516023.488317,19.9366314,81.6597356
ArcelorMittal Poland SA,5001.0,2,1,1,,50.213133,19.6906715
ArcelorMittal SA,8600.0,6,5,4,7118445911.73411,37.727837666666666,-2.211430166666664
ArcelorMittal SA; Société Nationale Industrielle et Minière SA,0.0,1,1,1,,19.513799,-10.553879
ArcelorMittal South Africa Ltd,3360.0,3,1,1,,-29.114087666666666,25.286533666666667
ArcelorMittal Tubarão Comercial SA,7500.0,1,1,1,,-20.253447,-40.242298
Arcelormittal Olaberria-Bergara SL,1450.0,1,1,1,,43.03829,-2.219625
Arcelormittal Sestao SL,2000.0,1,1,1,,43.313144,-2.998964
Arcelormittal Warszawa SP zoo,750.0,1,1,1,,52.291337,20.917302
Ardakan Steel Complex Co,0.0,1,1,1,,32.373942,53.759655
Arfa Iron and Steel Co,1000.0,1,1,1,,32.39309,53.7566
Arian Steel Co,240.0,1,1,1,,35.744901,50.222553
Arjas Steel Pvt Ltd,1005.0,1,1,1,2349689099.247747,14.873471,78.048425
Arvand Jahanara Steel Co,1200.0,1,1,1,,30.510886,48.241356
Arvand Kaveh Steel Co,0.0,1,1,1,,30.505458,48.272024
Asean Steel JSC,500.0,1,1,1,,12.59912,107.93922
Ashinskiy Metzavod PJSC,1000.0,1,1,1,,54.99484,57.277548
Asia United Steel,0.0,1,1,1,,43.600662,76.317112
Asil Celik Sanayi ve Ticaret AŞ,730.0,1,1,1,,40.42752,29.270141
Atibir Industries Co Ltd,0.0,1,1,1,49365304380.105705,24.145239,86.334999
Azerbaijan Integrated Steel Mill Complex,0.0,1,1,1,,40.721908,46.363526
Azerbaijan Metal Company LLC,0.0,1,1,1,,40.8217502,46.0170067
Azna Steel,0.0,1,1,1,,33.464353,49.391373
